Plik,Algorytm,Sr. czas (s),Sr. pamiêæ (MB),Sr. liczba zbiorów
synthetic_data_bardzo_duzy.csv,FPGrowth,2.6723,0.04,638
synthetic_data_bardzo_duzy.csv,Apriori,2.5778,0.02,638
synthetic_data_bardzo_duzy.csv,Eclat,2.5983,0.02,638

synthetic_data_bazowy.csv,FPGrowth,0.7723,0.01,98
synthetic_data_bazowy.csv,Apriori,0.7441,0.00,98
synthetic_data_bazowy.csv,Eclat,0.7541,0.00,98

synthetic_data_duzy.csv,FPGrowth,0.7966,0.01,178
synthetic_data_duzy.csv,Apriori,0.7736,0.01,178
synthetic_data_duzy.csv,Eclat,0.7836,0.01,178

synthetic_data_maly.csv,FPGrowth,0.0305,0.00,39
synthetic_data_maly.csv,Apriori,0.0300,0.00,39
synthetic_data_maly.csv,Eclat,0.0309,0.00,39

synthetic_data_rowny.csv,FPGrowth,0.0585,0.00,47
synthetic_data_rowny.csv,Apriori,0.0570,0.00,47
synthetic_data_rowny.csv,Eclat,0.0572,0.00,47

synthetic_data_skupiony.csv,FPGrowth,0.0624,0.01,102
synthetic_data_skupiony.csv,Apriori,0.0615,0.00,102
synthetic_data_skupiony.csv,Eclat,0.0615,0.00,102

synthetic_data_sredni.csv,FPGrowth,0.1398,0.01,148
synthetic_data_sredni.csv,Apriori,0.1368,0.01,148
synthetic_data_sredni.csv,Eclat,0.1384,0.01,148

